PartitionKey,RowKey,Timestamp,HotelLocationTemp,HotelLocationTemp@type,MillisecondsToReservation,MillisecondsToReservation@type,ReservationDateTime,ReservationDateTime@type,ReservationId,ReservationId@type,Reserved,Reserved@type,RoomType,RoomType@type,UserLocationTemp,UserLocationTemp@type,ViewDateTime,ViewDateTime@type
b7d44152-d9f2-4260-b2da-e23485ab4bac,0069720e-6194-4768-bcba-3f686974d446,2020-11-09T18:28:09.924Z,33,Edm.Int32,23099,Edm.Double,2005-02-04T08:00:23.099Z,Edm.DateTime,700277e3-83a3-478d-9adf-df114dbc5ab1,Edm.Guid,1,Edm.Int32,queen,Edm.String,6,Edm.Int32,2005-02-04T08:00:00.000Z,Edm.DateTime
b7d44152-d9f2-4260-b2da-e23485ab4bac,00c844d5-3b4d-4950-b1d8-b6ff73c13927,2020-11-09T18:28:10.450Z,34,Edm.Int32,,,,,2bce4316-9e53-4f15-8e32-70b5c86e15e5,Edm.Guid,0,Edm.Int32,twin,Edm.String,-39,Edm.Int32,2012-10-10T07:00:00.000Z,Edm.DateTime
b7d44152-d9f2-4260-b2da-e23485ab4bac,01d44dd9-bf78-42ac-93fb-fdb3f78f1975,2020-11-09T18:28:10.924Z,30,Edm.Int32,436461,Edm.Double,2015-12-08T08:07:16.461Z,Edm.DateTime,827d840b-a4ba-4c10-b355-364f713aab40,Edm.Guid,1,Edm.Int32,queen,Edm.String,35,Edm.Int32,2015-12-08T08:00:00.000Z,Edm.DateTime
b7d44152-d9f2-4260-b2da-e23485ab4bac,0303f8e1-857d-4cd0-b6bc-e140ebb666b6,2020-11-09T18:28:41.246Z,35,Edm.Int32,124331,Edm.Double,2004-08-03T07:02:04.331Z,Edm.DateTime,06a2f7d2-132d-489f-8274-278535871a8d,Edm.Guid,1,Edm.Int32,presidential,Edm.String,36,Edm.Int32,2004-08-03T07:00:00.000Z,Edm.DateTime
b7d44152-d9f2-4260-b2da-e23485ab4bac,039f8927-57af-4671-ac1a-3b1dbd667b86,2020-11-09T18:28:10.234Z,39,Edm.Int32,,,,,a640be90-5cab-46ad-a9e5-7ac050233252,Edm.Guid,0,Edm.Int32,king,Edm.String,39,Edm.Int32,2017-06-12T07:00:00.000Z,Edm.DateTime
b7d44152-d9f2-4260-b2da-e23485ab4bac,0400c0bc-fe55-431f-b7ff-3cb1f160d505,2020-11-09T18:28:36.139Z,26,Edm.Int32,33629,Edm.Double,2015-08-20T07:00:33.629Z,Edm.DateTime,9e928ab7-5fde-442c-97bd-6074507b9867,Edm.Guid,1,Edm.Int32,twin,Edm.String,-1,Edm.Int32,2015-08-20T07:00:00.000Z,Edm.DateTime
b7d44152-d9f2-4260-b2da-e23485ab4bac,057c8f54-b5b9-468d-bbf3-7be83ef608e4,2020-11-09T18:28:39.922Z,39,Edm.Int32,21052,Edm.Double,2000-04-17T07:00:21.052Z,Edm.DateTime,c93e2380-171e-4720-9db4-d9ec9ad3f73b,Edm.Guid,1,Edm.Int32,queen,Edm.String,23,Edm.Int32,2000-04-17T07:00:00.000Z,Edm.DateTime
b7d44152-d9f2-4260-b2da-e23485ab4bac,057ecd74-fa1b-42a1-a664-972155b31e08,2020-11-09T18:28:20.829Z,35,Edm.Int32,,,,,9a960cb3-9c75-45af-9405-29ff0a186530,Edm.Guid,0,Edm.Int32,king,Edm.String,29,Edm.Int32,2014-07-06T07:00:00.000Z,Edm.DateTime
b7d44152-d9f2-4260-b2da-e23485ab4bac,06737be7-7340-4cdf-a986-81a9738f5188,2020-11-09T18:28:25.936Z,28,Edm.Int32,61770,Edm.Double,2020-09-28T07:01:01.770Z,Edm.DateTime,65a16470-3301-4fcb-a113-ae8a447cec9c,Edm.Guid,1,Edm.Int32,twin,Edm.String,16,Edm.Int32,2020-09-28T07:00:00.000Z,Edm.DateTime
b7d44152-d9f2-4260-b2da-e23485ab4bac,067e74f0-bf56-4791-b894-c3baabb5b8e7,2020-11-09T18:28:15.013Z,37,Edm.Int32,3556,Edm.Double,2000-07-07T07:00:03.556Z,Edm.DateTime,e0724a18-9448-475b-b602-b37826f34965,Edm.Guid,1,Edm.Int32,presidential,Edm.String,21,Edm.Int32,2000-07-07T07:00:00.000Z,Edm.DateTime
b7d44152-d9f2-4260-b2da-e23485ab4bac,06cb9bb8-16b2-4b81-9882-d7a35c3a701f,2020-11-09T18:28:20.787Z,25,Edm.Int32,3754,Edm.Double,2007-05-05T07:00:03.754Z,Edm.DateTime,9c348921-c43e-461e-9a4c-c64659e992fd,Edm.Guid,1,Edm.Int32,presidential,Edm.String,21,Edm.Int32,2007-05-05T07:00:00.000Z,Edm.DateTime
b7d44152-d9f2-4260-b2da-e23485ab4bac,070ce30c-5434-43ce-8017-949a3d890485,2020-11-09T18:28:24.868Z,32,Edm.Int32,,,,,60520bd2-7d3b-40e5-bb33-d907780f2cf6,Edm.Guid,0,Edm.Int32,king,Edm.String,32,Edm.Int32,1997-06-19T07:00:00.000Z,Edm.DateTime
b7d44152-d9f2-4260-b2da-e23485ab4bac,07235ce2-9187-4c24-870d-251e2e395b6f,2020-11-09T18:28:11.010Z,28,Edm.Int32,,,,,0b0a9004-88d5-4e6c-8d10-6d55a92924ef,Edm.Guid,0,Edm.Int32,twin,Edm.String,-39,Edm.Int32,2007-08-06T07:00:00.000Z,Edm.DateTime
b7d44152-d9f2-4260-b2da-e23485ab4bac,081f5a32-3a24-41c4-bbc0-fbc3c0357f47,2020-11-09T18:28:15.773Z,34,Edm.Int32,,,,,25c95f33-1391-4a52-bfea-2fbf5cdc4750,Edm.Guid,0,Edm.Int32,king,Edm.String,28,Edm.Int32,2009-03-21T07:00:00.000Z,Edm.DateTime
b7d44152-d9f2-4260-b2da-e23485ab4bac,08c52c3e-73bd-4582-93a4-34f7a33e5f33,2020-11-09T18:28:46.502Z,33,Edm.Int32,212599,Edm.Double,1997-08-23T07:03:32.599Z,Edm.DateTime,03949761-f35a-4405-978b-ef8f32df04b2,Edm.Guid,1,Edm.Int32,presidential,Edm.String,30,Edm.Int32,1997-08-23T07:00:00.000Z,Edm.DateTime
b7d44152-d9f2-4260-b2da-e23485ab4bac,0a2f2435-3bf2-4f0e-85e6-6410c138ff64,2020-11-09T18:28:30.813Z,30,Edm.Int32,10563,Edm.Double,2009-08-07T07:00:10.563Z,Edm.DateTime,3e13393b-d012-4b59-b338-049a62e56750,Edm.Guid,1,Edm.Int32,king,Edm.String,21,Edm.Int32,2009-08-07T07:00:00.000Z,Edm.DateTime
b7d44152-d9f2-4260-b2da-e23485ab4bac,0a911f1e-db6f-46b8-a8f3-9ee053219590,2020-11-09T18:28:10.965Z,29,Edm.Int32,,,,,08b95399-1fcd-4d1e-8b9f-a77c2b31a7a2,Edm.Guid,0,Edm.Int32,twin,Edm.String,-25,Edm.Int32,1997-11-02T08:00:00.000Z,Edm.DateTime
b7d44152-d9f2-4260-b2da-e23485ab4bac,0a967239-de56-4bf9-9fe5-335423a37773,2020-11-09T18:28:18.731Z,35,Edm.Int32,,,,,f3547b98-c9e4-439a-8940-46dfd75a173e,Edm.Guid,0,Edm.Int32,presidential,Edm.String,17,Edm.Int32,2010-04-28T07:00:00.000Z,Edm.DateTime
